index,color,duration,genres,facenumber_in_poster,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio,score
92,Color,100,Adventure,0,English,USA,G,1.65E+08,2004,6.6,2.35,0
93,Color,120,Action,0,English,USA,PG-13,1.65E+08,2016,5.5,2.35,0
94,Color,98,Adventure,0,English,USA,PG,1.65E+08,2010,8.2,2.35,1
95,Color,109,Action,0,English,USA,R,2.00E+08,2003,6.4,2.35,0
96,Color,121,Action,3,English,USA,PG-13,1.70E+08,2014,8.1,2.35,1
97,Color,169,Adventure,1,English,USA,PG-13,1.65E+08,2014,8.6,2.35,1
98,Color,148,Action,0,English,USA,PG-13,1.60E+08,2010,8.8,2.35,1
101,Color,106,Action,2,English,USA,PG-13,3.80E+07,2001,6.7,2.35,0
102,Color,166,Drama,2,English,USA,PG-13,1.50E+08,2008,7.8,2.35,1
103,Color,132,Action,3,English,USA,PG-13,1.60E+08,2011,7.8,2.35,1
104,Color,137,Adventure,1,English,USA,PG-13,1.60E+08,2015,6.6,2.35,0
105,Color,109,Action,0,English,USA,PG,1.50E+08,2010,6.1,2.35,0
106,Color,98,Action,0,English,USA,PG-13,1.60E+08,2006,5.6,2.35,0
107,Color,113,Adventure,1,English,USA,PG,1.70E+08,2016,6.4,1.85,0
108,Color,93,Adventure,2,English,USA,PG,1.60E+08,2007,6.1,1.85,0
109,Color,123,Action,0,English,USA,PG-13,1.60E+08,2016,7.3,2.35,1
110,Color,126,Action,2,English,USA,PG-13,1.55E+08,2015,6.6,2.35,0
111,Color,113,Adventure,4,English,USA,PG,1.55E+08,2010,6.3,1.78,0
112,Black and White,184,Action,0,English,USA,PG-13,1.40E+08,2001,6.1,2.35,0
113,Color,144,Action,0,English,USA,PG-13,1.50E+08,2007,7.1,2.35,1
114,Color,206,Action,3,English,Germany,R,1.55E+08,2004,5.5,2.35,0
115,Color,138,Adventure,3,English,UK,PG-13,1.50E+08,2007,7.5,2.35,1
116,Color,157,Adventure,1,English,UK,PG-13,1.50E+08,2005,7.6,2.35,1
117,Color,102,Action,0,English,USA,PG-13,1.50E+08,2008,6.4,2.35,0
118,Color,104,Drama,0,English,USA,PG-13,1.50E+08,2007,7.2,2.35,1
119,Color,115,Adventure,3,English,USA,PG,1.50E+08,2005,6.7,1.85,0
120,Color,111,Animation,0,English,USA,G,1.50E+08,2007,8,2.35,1
121,Color,128,Action,0,English,USA,PG-13,1.50E+08,2005,8.3,2.35,1
122,Color,89,Action,0,English,USA,PG,1.50E+08,2008,6.7,1.85,0
123,Color,105,Adventure,2,English,USA,PG,1.50E+08,2009,5.9,2.35,0
124,Color,119,Action,0,English,USA,PG-13,1.50E+08,2009,6.7,2.35,0
125,Color,129,Action,0,English,Australia,R,1.50E+08,2003,6.7,2.35,0
126,Color,102,Adventure,0,English,USA,PG,1.50E+08,2013,7.6,2.24,1
127,Color,138,Action,0,English,USA,R,1.50E+08,2003,7.2,2.35,1
128,Color,112,Action,3,English,USA,PG-13,1.70E+08,2013,7.1,2.35,1
129,Color,120,Action,0,English,Australia,R,1.50E+08,2015,8.1,2.35,1
130,Color,146,Mystery,2,English,USA,PG-13,1.50E+08,2009,6.7,2.35,0
131,Color,115,Action,1,English,USA,PG-13,1.50E+08,2011,7,2.35,0
132,Color,96,Adventure,0,English,USA,PG,1.50E+08,2008,6.9,1.85,0
133,Color,88,Action,0,English,USA,PG,1.50E+08,2009,5.1,2.35,0
134,Color,99,Action,0,English,USA,PG-13,1.50E+08,2012,5.8,1.85,0
135,Color,113,Comedy,7,English,USA,PG-13,1.00E+08,2012,6.2,1.85,0
136,Color,131,Action,0,English,China,PG-13,1.50E+08,2015,7.4,2.35,1
137,Color,119,Drama,0,English,USA,R,1.50E+08,2010,5.8,1.85,0
138,Color,110,Action,2,English,USA,PG-13,1.80E+08,2016,6.6,2.35,0
139,Color,91,Adventure,0,English,USA,PG,1.50E+08,2007,6.2,1.85,0
140,Color,90,Action,0,English,USA,PG,1.50E+08,2011,7.3,2.35,1
141,Color,103,Action,0,English,USA,PG,1.50E+08,2010,4.2,2.35,0
142,Color,124,Action,0,English,USA,PG-13,1.50E+08,2006,6.9,2.35,0
143,Color,131,Action,2,English,USA,PG-13,1.50E+08,2013,6.4,2.35,0
144,Color,88,Action,0,English,USA,PG,1.50E+08,2011,5.4,2.35,0
145,Color,85,Adventure,0,English,UK,PG,1.49E+08,2006,6.7,1.85,0
146,Color,111,Adventure,4,English,USA,PG,1.50E+08,2015,5.8,2.35,0
147,Color,92,Adventure,2,English,USA,PG,1.45E+08,2014,6.9,1.85,0
148,Color,196,Adventure,2,English,USA,R,1.75E+08,2004,7.2,2.35,1
149,Color,93,Adventure,0,English,USA,PG,1.45E+08,2012,6.9,1.85,0
150,Black and White,133,Action,0,English,UK,PG-13,1.42E+08,2002,6.1,2.35,0
151,Color,116,Action,4,English,USA,PG-13,1.44E+08,2016,5.5,2.35,0
152,Color,153,Action,0,English,USA,PG-13,1.40E+08,1998,6.6,2.35,0
153,Color,88,Action,2,English,USA,PG-13,1.40E+08,2002,6.1,1.85,0
154,Color,115,Action,1,English,USA,PG-13,1.50E+08,2007,6.3,2.35,0
155,Color,95,Action,0,English,USA,PG,1.45E+08,2016,7.2,2.35,1
156,Color,133,Action,3,English,USA,PG-13,1.45E+08,2011,7.4,2.35,1
157,Color,97,Adventure,0,English,USA,PG,1.45E+08,2012,7.3,1.85,1
158,Color,90,Comedy,1,English,USA,PG-13,1.00E+08,2005,6.1,2.35,0
159,Color,154,Action,1,English,USA,R,1.40E+08,2003,7.7,2.35,1
160,Color,150,Action,0,English,UK,PG-13,1.40E+08,2014,6.1,2.35,0
161,Color,127,Action,0,English,USA,PG-13,1.50E+08,2009,8,2.35,1
162,Color,121,Action,0,English,USA,PG-13,1.39E+08,2002,7.3,1.85,1
163,Color,102,Action,5,English,USA,PG,1.45E+08,2014,7.9,2.35,1
164,Color,126,Action,4,English,USA,PG-13,1.40E+08,2016,5.5,2.35,0
165,Color,121,Action,0,English,USA,PG-13,1.35E+08,2005,5,2.35,0
166,Color,215,Action,1,English,USA,R,1.30E+08,2009,7.7,2.35,1
167,Color,127,Action,2,English,USA,R,1.40E+08,1998,6.6,2.35,0
168,Color,138,Action,0,English,USA,PG-13,1.37E+08,2003,5.7,1.85,0
169,Color,122,Action,6,English,USA,PG-13,1.30E+08,2013,5.8,2.35,0
170,Color,124,Action,3,English,UK,PG-13,1.30E+08,2005,6,2.35,0
171,Color,106,Action,1,English,USA,PG-13,1.37E+08,2001,6.4,1.85,0
172,Color,124,Action,0,English,USA,PG-13,1.40E+08,2011,6.9,2.35,0
173,Color,128,Action,2,English,UK,PG-13,1.35E+08,1999,6.4,2.35,0
174,Color,138,Action,1,English,USA,PG-13,1.50E+08,2003,7.4,2.35,1
175,Color,115,Adventure,3,English,USA,PG-13,1.20E+08,2012,5.5,2.35,0
176,Color,100,Animation,0,English,Australia,PG,1.35E+08,2011,5.9,2.35,0
177,Color,135,Action,0,English,USA,PG-13,1.50E+08,2008,6.8,2.35,0
179,Color,117,Adventure,0,English,UK,PG,1.40E+08,2016,6.8,2.35,0
180,Color,156,Adventure,0,English,USA,R,1.35E+08,2015,8.1,2.35,1
181,Color,96,Adventure,0,English,USA,PG,1.35E+08,2013,6.5,2.35,0
182,Color,107,Adventure,0,English,USA,PG,1.35E+08,2011,7.2,2.35,1
183,Color,92,Adventure,0,English,USA,PG,1.32E+08,2014,6.7,1.85,0
184,Color,115,Action,0,English,USA,PG-13,1.10E+08,2007,8.1,2.35,1
185,Color,92,Action,0,English,USA,PG,1.30E+08,2008,7.6,2.35,1
186,Color,117,Action,6,English,USA,PG-13,1.30E+08,2015,7.4,1.85,1
187,Color,146,Adventure,1,English,USA,PG-13,1.30E+08,2013,7.6,2.35,1
188,Color,115,Adventure,3,English,USA,PG-13,1.20E+08,2012,5.5,2.35,0
189,Color,94,Adventure,0,English,USA,PG,1.35E+08,2015,6.7,1.85,0
190,Color,116,Adventure,0,English,USA,PG-13,1.32E+08,2005,6.5,1.85,0
191,Color,147,Action,1,English,USA,R,1.30E+08,2003,6.6,2.35,0
192,Color,90,Action,0,English,USA,PG,1.30E+08,2011,6.7,2.35,0
193,Color,101,Action,1,English,USA,PG-13,1.10E+08,2010,6.4,2.35,0
194,Color,138,Action,2,English,USA,PG-13,1.25E+08,2014,5.8,1.85,0
195,Color,107,Action,1,English,USA,PG,1.35E+08,2011,7.4,2.35,1
196,Color,142,Adventure,3,English,UK,PG,1.30E+08,2004,7.8,2.35,1
197,Color,165,Adventure,0,English,Australia,PG-13,1.30E+08,2008,6.6,2.35,0
198,Color,100,Action,0,English,USA,PG-13,1.30E+08,2013,4.9,2.35,0
199,Color,82,Adventure,1,English,USA,PG,127500000,2000,6.5,1.85,0
201,Color,98,Adventure,7,English,USA,PG,1.27E+08,2014,6.2,1.85,0
202,Color,95,Action,3,English,USA,PG,1.30E+08,2010,7.3,2.35,1
203,Color,159,Adventure,4,English,UK,PG,1.25E+08,2001,7.5,2.35,1
204,Color,96,Action,2,English,USA,PG-13,1.30E+08,2013,5.6,2.35,0
206,Color,143,Action,3,English,USA,PG-13,1.40E+08,2003,8.1,2.35,1
208,Color,123,Adventure,1,English,USA,PG-13,1.25E+08,2014,6.7,2.35,0
209,Color,174,Mystery,2,English,USA,PG-13,1.25E+08,2006,6.6,2.35,0
210,Color,101,Adventure,0,English,USA,G,1.03E+08,2014,6.4,2.35,0
211,Color,134,Action,4,English,Canada,PG-13,1.10E+08,2003,7.5,2.35,1
212,Color,132,Action,3,English,USA,PG-13,1.25E+08,2011,7.3,2.35,1
213,Color,129,Action,2,English,USA,PG-13,1.25E+08,2011,7.5,2.35,1
214,Color,106,Action,0,English,USA,PG-13,1.25E+08,2010,5.8,2.35,0
215,Color,113,Action,0,English,USA,R,6.50E+07,1990,7.5,1.85,1
216,Color,102,Action,1,English,USA,R,8.50E+07,1999,6.6,2.35,0
217,Color,135,Action,0,English,USA,PG-13,1.25E+08,2012,6.7,2.35,0
218,Color,125,Action,3,English,USA,PG-13,1.25E+08,1997,3.7,1.85,0
219,Color,110,Comedy,0,English,USA,PG,1.23E+08,2000,6,1.85,0
220,Color,124,Action,0,English,USA,PG-13,1.25E+08,2004,6.4,2.35,0
221,Color,123,Action,0,English,USA,PG-13,1.25E+08,2000,6.1,2.35,0
222,Color,130,Action,0,English,USA,PG-13,1.40E+08,2000,6.4,2.35,0
223,Color,92,Action,3,English,USA,PG,1.30E+08,2007,5.6,2.35,0
224,Color,127,Adventure,0,English,USA,PG,1.20E+08,2012,8,1.85,1
225,Color,123,Action,1,English,USA,PG-13,1.10E+08,2007,5.2,2.35,0
226,Color,123,Action,0,English,UK,PG-13,1.20E+08,2016,7.1,2.35,1
227,Color,107,Action,0,English,USA,PG-13,1.20E+08,2003,4.8,2.35,0
228,Color,124,Adventure,0,English,USA,R,1.30E+08,2012,7,2.35,0
229,Color,77,Adventure,0,English,USA,PG,1.20E+08,2002,5.4,1.85,0
230,Color,109,Action,0,English,USA,R,1.15E+08,2013,6.6,2.35,0
231,Color,134,Action,0,English,USA,PG-13,1.05E+08,2004,6.7,2.35,0
232,Color,117,Action,0,English,USA,PG-13,1.00E+08,2014,6.2,2.35,0
233,Color,135,Action,0,English,USA,PG,1.20E+08,2008,6.1,2.35,0
234,Color,121,Comedy,4,English,USA,PG-13,1.20E+08,2010,5.3,1.85,0
235,Color,117,Action,0,English,USA,PG-13,1.17E+08,2010,6.3,2.35,0
236,Color,124,Action,0,English,USA,PG-13,1.20E+08,2013,7,2.35,0
237,Color,140,Action,4,English,USA,PG-13,1.13E+08,2005,7.6,2.35,1
238,Color,142,Action,3,English,USA,PG,1.15E+08,2002,6.7,1.78,0
239,Color,92,Adventure,0,English,USA,G,1.15E+08,2001,8.1,1.85,1
240,Color,138,Action,1,English,USA,PG-13,1.20E+08,2013,6.7,2.35,0
241,Color,136,Action,1,English,USA,PG,1.15E+08,1999,6.5,2.35,0
242,Color,98,Adventure,3,English,USA,PG,1.35E+08,2013,7.3,2.35,1
244,Color,153,Action,0,English,USA,R,1.15E+08,2002,6,2.35,0
245,Color,120,Action,2,English,USA,PG-13,1.15E+08,2016,6.1,2.35,0
246,Color,101,Action,0,English,USA,PG-13,1.25E+08,2014,5.9,2.35,0
247,Color,91,Adventure,0,English,UK,PG-13,1.00E+08,2013,7.8,2.35,1
248,Color,108,Action,1,English,USA,PG-13,1.16E+08,1997,5.8,2.35,0
250,Color,100,Action,3,English,USA,PG-13,1.20E+08,2015,4.3,2.35,0
251,Color,108,Action,2,English,USA,PG,1.10E+08,2006,6.4,1.85,0
252,Color,114,Action,0,English,USA,PG-13,1.10E+08,2015,6.1,2.35,0
253,Color,119,Action,3,English,UK,PG-13,1.10E+08,1997,6.5,2.35,0
254,Color,142,Action,1,English,USA,R,1.10E+08,2000,7.1,2.35,1
255,Color,125,Crime,0,English,USA,PG-13,1.10E+08,2004,6.4,2.35,0
256,Color,126,Action,2,English,USA,PG-13,1.20E+08,2005,6.5,2.35,0
257,Color,119,Adventure,0,English,USA,PG-13,1.10E+08,2015,6.3,2.35,0
258,Black and White,170,Biography,0,English,USA,PG-13,1.10E+08,2004,7.5,2.35,1
259,Color,85,Adventure,1,English,USA,PG,1.12E+08,2010,4.9,2.35,0
260,Color,119,Action,0,English,USA,PG-13,1.20E+08,2011,5.8,2.35,0
262,Color,102,Action,0,English,USA,R,1.10E+08,2014,6.2,2.35,0
263,Color,103,Adventure,3,English,USA,PG,1.10E+08,2011,5.5,1.78,0
264,Color,76,Animation,0,English,USA,PG,1.10E+08,2004,5.4,1.78,0
265,Color,120,Action,3,English,USA,PG-13,1.10E+08,2016,5.8,2.35,0
266,Color,127,Action,1,English,USA,PG-13,1.10E+08,2011,7.1,2.35,1
267,Color,105,Adventure,3,English,USA,PG,1.05E+08,2013,5.4,1.85,0
268,Color,121,Action,0,English,USA,PG-13,1.60E+08,1997,3.7,2.35,0
269,Color,114,Action,4,English,USA,PG-13,1.10E+08,2013,6.7,2.35,0
270,Color,129,Action,1,English,USA,PG-13,1.10E+08,2007,7.2,2.35,1
271,Color,171,Action,2,English,New Zealand,PG-13,9.30E+07,2001,8.8,2.35,1
272,Color,120,Action,0,English,USA,PG,1.10E+08,2004,5.8,2.35,0
273,Black and White,165,Biography,1,English,USA,R,1.07E+08,2001,6.8,2.35,0
274,Color,82,Adventure,1,English,USA,PG,1.09E+08,2003,3.8,1.85,0
275,Color,115,Action,1,English,USA,PG-13,1.20E+08,2004,7.1,2.35,1
276,Color,194,Action,1,English,USA,R,1.30E+08,2005,7.2,2.35,1
277,Color,84,Adventure,0,English,Germany,PG,1.33E+08,1999,5.9,1.85,0
278,Color,97,Animation,0,English,USA,G,1.05E+08,2009,7.1,1.85,1
279,Color,151,Adventure,1,English,USA,PG-13,1.08E+08,2015,8.1,2.35,1
281,Color,136,Action,1,English,USA,PG-13,1.26E+08,2005,6.9,2.35,0
282,Color,104,Comedy,0,English,New Line,R,9.00E+07,2001,4.4,1.85,0
283,Color,127,Action,1,English,USA,PG-13,9.00E+07,2000,6.5,2.35,0
284,Color,171,Action,0,English,USA,R,1.03E+08,2000,8.5,2.35,1
285,Color,145,Action,0,English,USA,PG-13,1.02E+08,2002,7.7,2.35,1
286,Color,174,Adventure,1,English,UK,PG,1.00E+08,2002,7.4,2.35,1
287,Black and White,144,Action,1,English,UK,PG-13,1.50E+08,2006,8,2.35,1
288,Color,119,Action,0,English,USA,PG-13,1.00E+08,2001,5.7,2.35,0
289,Color,153,Action,0,English,USA,R,1.02E+08,1991,8.5,2.35,1
290,Color,140,Biography,1,English,USA,R,1.00E+08,2009,7,2.35,0
291,Color,176,Biography,0,English,USA,R,1.00E+08,2007,7.8,1.85,1
292,Color,141,Action,0,English,USA,R,1.15E+08,1994,7.2,2.35,1
293,Color,106,Action,1,English,USA,R,1.00E+08,2009,6.4,2.35,0
294,Color,98,Comedy,10,English,USA,PG-13,1.00E+08,2010,5.5,1.85,0
295,Color,116,Action,2,English,USA,PG-13,1.00E+08,2010,6.7,2.35,0
296,Color,115,Action,1,English,USA,R,1.00E+08,1996,6.1,2.35,0
297,Color,165,Drama,1,English,USA,R,1.00E+08,2012,8.5,2.35,1
298,Color,91,Animation,0,English,USA,G,1.00E+08,1996,6.9,1.78,0
299,Color,78,Adventure,1,English,USA,G,1.00E+08,2000,7.3,1.66,1
300,Color,103,Action,3,English,USA,R,9.20E+07,2012,6.7,2.35,0
301,Color,131,Action,0,English,USA,PG,1.00E+08,2004,6.9,2.35,0
302,Black and White,104,Action,0,English,USA,PG,1.00E+08,2006,5.1,2.35,0
303,Color,101,Adventure,0,English,Germany,PG,1.00E+08,2009,6.8,2.35,0
304,Color,111,Adventure,4,English,USA,PG,1.50E+08,2015,5.8,2.35,0
305,Color,102,Adventure,2,English,USA,PG,1.00E+08,2013,6.7,2.35,0
306,Color,103,Action,0,English,USA,PG-13,1.00E+08,2010,6,2.35,0
307,Color,121,Action,0,English,USA,R,8.30E+07,1999,5.7,2.35,0
308,Color,143,Adventure,0,English,Germany,R,1.00E+08,2006,8,2.35,1
309,Color,240,Biography,3,English,USA,R,1.00E+08,2013,8.2,2.35,1
310,Color,121,Action,4,English,USA,PG-13,1.00E+08,1995,5.4,1.85,0
311,Color,129,Action,0,English,USA,R,1.05E+08,1997,7.2,1.85,1
312,Color,172,Drama,5,English,Germany,R,1.02E+08,2012,7.5,2.35,1
313,Color,101,Action,1,English,USA,PG,8.00E+07,2010,7,2.35,0
314,Color,87,Action,0,English,USA,PG-13,1.00E+08,2004,3.3,2.35,0
315,Color,101,Action,0,English,USA,PG-13,1.00E+08,2014,6,2.35,0
316,Color,95,Adventure,0,English,USA,PG,1.40E+08,2002,7.1,1.5,1
317,Color,102,Adventure,1,English,USA,PG-13,1.00E+08,2009,5.4,1.85,0
318,Color,131,Action,15,English,USA,PG-13,9.00E+07,2014,6.1,2.35,0
319,Color,114,Action,1,English,USA,PG-13,1.05E+08,2015,5.3,2.35,0
320,Color,94,Comedy,0,English,USA,PG,8.40E+07,2005,2.2,1.85,0
321,Color,122,Action,0,English,USA,PG-13,1.00E+08,2015,7,1.85,0
322,Color,95,Action,1,English,USA,PG-13,1.00E+08,2002,3.8,1.85,0
323,Color,115,Action,1,English,France,R,1.00E+08,2010,6.9,2.35,0
324,Color,88,Adventure,0,English,USA,G,9.90E+07,2015,7.2,1.85,1
325,Color,110,Drama,0,English,USA,PG,1.00E+07,1997,7.3,1.85,1
326,Color,130,Action,5,English,USA,PG-13,9.80E+07,2001,6.3,2.35,0
327,Color,216,Crime,3,English,USA,R,1.00E+08,2002,7.5,2.35,1
328,Color,146,Drama,2,Mandarin,China,R,9.40E+07,2011,7.6,2.35,1
329,Color,85,Animation,0,English,USA,PG,1.00E+08,2007,6.8,1.85,0
330,Color,93,Comedy,1,English,USA,PG-13,9.00E+07,2004,5.2,1.85,0
331,Color,152,Drama,0,English,USA,R,9.20E+07,2001,7.7,2.35,1
332,Color,85,Comedy,0,English,USA,R,9.50E+07,2012,6.2,1.85,0
333,Color,126,Action,2,English,France,PG-13,9.30E+07,1997,7.7,2.35,1
334,Color,146,Comedy,4,English,USA,R,1.00E+08,2010,4.3,1.85,0
335,Color,89,Adventure,1,English,USA,PG,9.50E+07,2000,6.9,1.85,0
336,Color,88,Adventure,0,English,USA,PG,9.50E+07,2012,6.6,2.35,0
337,Color,105,Drama,1,English,USA,PG,9.50E+07,2015,7,2.35,0
338,Color,135,Drama,1,English,USA,PG-13,6.50E+07,2009,6.7,2.35,0
339,Color,100,Adventure,0,English,USA,G,9.40E+07,2003,8.2,1.85,1
340,Color,192,Action,2,English,USA,PG-13,9.40E+07,2003,8.9,2.35,1
341,Color,172,Action,1,English,USA,PG-13,9.40E+07,2002,8.7,2.35,1
342,Color,102,Action,4,English,USA,PG-13,9.50E+07,2014,5.5,2.35,0
343,Color,100,Action,1,English,USA,PG-13,1.15E+08,2001,5.7,2.35,0
344,Color,119,Drama,1,English,UK,PG-13,1.00E+08,2014,6.3,2.35,0
345,Color,92,Action,0,English,USA,PG-13,9.30E+07,2001,5.9,1.85,0
346,Color,105,Action,0,English,USA,PG-13,9.30E+07,2011,7.6,2.35,1
347,Color,107,Adventure,0,English,USA,PG,9.00E+07,2008,6.6,2.35,0
