"","color","director_name","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_2_name","actor_1_facebook_likes","gross","genres","actor_1_name","movie_title","num_voted_users","cast_total_facebook_likes","actor_3_name","facenumber_in_poster","num_user_for_reviews","language","country","content_rating","budget","title_year","actor_2_facebook_likes","imdb_score","aspect_ratio","movie_facebook_likes"
"12","Color","Bryan Singer",434,169,0,903,"Marlon Brando",18000,200069408,"Action","Kevin Spacey","Superman Returns",240396,29991,"Frank Langella",0,2367,"English","USA","PG-13",2.09e+08,2006,10000,6.1,2.35,0
"13","Color","Marc Forster",403,106,395,393,"Mathieu Amalric",451,168368427,"Action","Giancarlo Giannini","Quantum of Solace",330784,2023,"Rory Kinnear",1,1243,"English","UK","PG-13",2e+08,2008,412,6.7,2.35,0
"14","Color","Gore Verbinski",313,151,563,1000,"Orlando Bloom",40000,423032628,"Action","Johnny Depp","Pirates of the Caribbean: Dead Man's Chest",522040,48486,"Jack Davenport",2,1832,"English","USA","PG-13",2.25e+08,2006,5000,7.3,2.35,5000
"15","Color","Gore Verbinski",450,150,563,1000,"Ruth Wilson",40000,89289910,"Action","Johnny Depp","The Lone Ranger",181792,45757,"Tom Wilkinson",1,711,"English","USA","PG-13",2.15e+08,2013,2000,6.5,2.35,48000
"16","Color","Zack Snyder",733,143,0,748,"Christopher Meloni",15000,291021565,"Action","Henry Cavill","Man of Steel",548573,20495,"Harry Lennix",0,2536,"English","USA","PG-13",2.25e+08,2013,3000,7.2,2.35,118000
"17","Color","Andrew Adamson",258,150,80,201,"Pierfrancesco Favino",22000,141614023,"Action","Peter Dinklage","The Chronicles of Narnia: Prince Caspian",149922,22697,"Damián Alcázar",4,438,"English","USA","PG",2.25e+08,2008,216,6.6,2.35,0
"18","Color","Joss Whedon",703,173,0,19000,"Robert Downey Jr.",26000,623279547,"Action","Chris Hemsworth","The Avengers",995415,87697,"Scarlett Johansson",3,1722,"English","USA","PG-13",2.2e+08,2012,21000,8.1,1.85,123000
"19","Color","Rob Marshall",448,136,252,1000,"Sam Claflin",40000,241063875,"Action","Johnny Depp","Pirates of the Caribbean: On Stranger Tides",370704,54083,"Stephen Graham",4,484,"English","USA","PG-13",2.5e+08,2011,11000,6.7,2.35,58000
"20","Color","Barry Sonnenfeld",451,106,188,718,"Michael Stuhlbarg",10000,179020854,"Action","Will Smith","Men in Black 3",268154,12572,"Nicole Scherzinger",1,341,"English","USA","PG-13",2.25e+08,2012,816,6.8,1.85,40000
"21","Color","Peter Jackson",422,164,0,773,"Adam Brown",5000,255108370,"Adventure","Aidan Turner","The Hobbit: The Battle of the Five Armies",354228,9152,"James Nesbitt",0,802,"English","New Zealand","PG-13",2.5e+08,2014,972,7.5,2.35,65000
"22","Color","Marc Webb",599,153,464,963,"Andrew Garfield",15000,262030663,"Action","Emma Stone","The Amazing Spider-Man",451803,28489,"Chris Zylka",0,1225,"English","USA","PG-13",2.3e+08,2012,10000,7,2.35,56000
"23","Color","Ridley Scott",343,156,0,738,"William Hurt",891,105219735,"Action","Mark Addy","Robin Hood",211765,3244,"Scott Grimes",0,546,"English","USA","PG-13",2e+08,2010,882,6.7,2.35,17000
"24","Color","Peter Jackson",509,186,0,773,"Adam Brown",5000,258355354,"Adventure","Aidan Turner","The Hobbit: The Desolation of Smaug",483540,9152,"James Nesbitt",6,951,"English","USA","PG-13",2.25e+08,2013,972,7.9,2.35,83000
"25","Color","Chris Weitz",251,113,129,1000,"Eva Green",16000,70083519,"Adventure","Christopher Lee","The Golden Compass",149019,24106,"Kristin Scott Thomas",2,666,"English","USA","PG-13",1.8e+08,2007,6000,6.1,2.35,0
"26","Color","Peter Jackson",446,201,0,84,"Thomas Kretschmann",6000,218051260,"Action","Naomi Watts","King Kong",316018,7123,"Evan Parke",0,2618,"English","New Zealand","PG-13",2.07e+08,2005,919,7.2,2.35,0
"27","Color","James Cameron",315,194,0,794,"Kate Winslet",29000,658672302,"Drama","Leonardo DiCaprio","Titanic",793059,45223,"Gloria Stuart",0,2528,"English","USA","PG-13",2e+08,1997,14000,7.7,2.35,26000
"28","Color","Anthony Russo",516,147,94,11000,"Scarlett Johansson",21000,407197282,"Action","Robert Downey Jr.","Captain America: Civil War",272670,64798,"Chris Evans",0,1022,"English","USA","PG-13",2.5e+08,2016,19000,8.2,2.35,72000
"29","Color","Peter Berg",377,131,532,627,"Alexander Skarsgård",14000,65173160,"Action","Liam Neeson","Battleship",202382,26679,"Tadanobu Asano",0,751,"English","USA","PG-13",2.09e+08,2012,10000,5.9,2.35,44000
"30","Color","Colin Trevorrow",644,124,365,1000,"Judy Greer",3000,652177271,"Action","Bryce Dallas Howard","Jurassic World",418214,8458,"Omar Sy",0,1290,"English","USA","PG-13",1.5e+08,2015,2000,7,2,150000
"31","Color","Sam Mendes",750,143,0,393,"Helen McCrory",883,304360277,"Action","Albert Finney","Skyfall",522030,2039,"Rory Kinnear",0,1498,"English","UK","PG-13",2e+08,2012,563,7.8,2.35,80000
"32","Color","Sam Raimi",300,135,0,4000,"James Franco",24000,373377893,"Action","J.K. Simmons","Spider-Man 2",411164,43388,"Kirsten Dunst",1,1303,"English","USA","PG-13",2e+08,2004,11000,7.3,2.35,0
"33","Color","Shane Black",608,195,1000,3000,"Jon Favreau",21000,408992272,"Action","Robert Downey Jr.","Iron Man 3",557489,30426,"Don Cheadle",3,1187,"English","USA","PG-13",2e+08,2013,4000,7.2,2.35,95000
"34","Color","Tim Burton",451,108,13000,11000,"Alan Rickman",40000,334185206,"Adventure","Johnny Depp","Alice in Wonderland",306320,79957,"Anne Hathaway",0,736,"English","USA","PG",2e+08,2010,25000,6.5,1.85,24000
"35","Color","Brett Ratner",334,104,420,560,"Kelsey Grammer",20000,234360014,"Action","Hugh Jackman","X-Men: The Last Stand",383427,21714,"Daniel Cudmore",0,1912,"English","Canada","PG-13",2.1e+08,2006,808,6.8,2.35,0
"36","Color","Dan Scanlon",376,104,37,760,"Tyler Labine",12000,268488329,"Adventure","Steve Buscemi","Monsters University",235025,14863,"Sean Hayes",0,265,"English","USA","G",2e+08,2013,779,7.3,1.85,44000
"37","Color","Michael Bay",366,150,0,464,"Kevin Dunn",894,402076689,"Action","Glenn Morshower","Transformers: Revenge of the Fallen",323207,3218,"Ramon Rodriguez",0,1439,"English","USA","PG-13",2e+08,2009,581,6,2.35,0
"38","Color","Michael Bay",378,165,0,808,"Sophia Myles",974,245428137,"Action","Bingbing Li","Transformers: Age of Extinction",242420,3988,"Kelsey Grammer",2,918,"English","USA","PG-13",2.1e+08,2014,956,5.7,2.35,56000
"39","Color","Sam Raimi",525,130,0,11000,"Mila Kunis",44000,234903076,"Adventure","Tim Holmes","Oz the Great and Powerful",175409,73441,"James Franco",4,511,"English","USA","PG",2.15e+08,2013,15000,6.4,2.35,60000
"40","Color","Marc Webb",495,142,464,825,"Andrew Garfield",15000,202853933,"Action","Emma Stone","The Amazing Spider-Man 2",321227,28631,"B.J. Novak",0,1067,"English","USA","PG-13",2e+08,2014,10000,6.7,2.35,41000
"41","Color","Joseph Kosinski",469,125,364,1000,"Olivia Wilde",12000,172051787,"Action","Jeff Bridges","TRON: Legacy",264183,25550,"James Frain",0,665,"English","USA","PG",1.7e+08,2010,10000,6.8,2.35,30000
"42","Color","John Lasseter",304,106,487,776,"Thomas Kretschmann",1000,191450875,"Adventure","Joe Mantegna","Cars 2",101178,4482,"Eddie Izzard",0,283,"English","USA","G",2e+08,2011,919,6.3,2.35,10000
"43","Color","Martin Campbell",436,123,258,326,"Temuera Morrison",16000,116593191,"Action","Ryan Reynolds","Green Lantern",223393,17657,"Taika Waititi",2,550,"English","USA","PG-13",2e+08,2011,368,5.6,2.35,24000
"44","Color","Lee Unkrich",453,103,125,721,"John Ratzenberger",15000,414984497,"Adventure","Tom Hanks","Toy Story 3",544884,19085,"Don Rickles",3,733,"English","USA","G",2e+08,2010,1000,8.3,1.85,30000
"45","Color","McG",422,118,368,988,"Bryce Dallas Howard",23000,125320003,"Action","Christian Bale","Terminator Salvation",286095,27468,"Common",0,974,"English","USA","PG-13",2e+08,2009,3000,6.6,2.35,0
"46","Color","James Wan",424,140,0,14000,"Paul Walker",26000,350034110,"Action","Jason Statham","Furious 7",278232,79150,"Vin Diesel",0,657,"English","USA","PG-13",1.9e+08,2015,23000,7.2,2.35,94000
"47","Color","Marc Forster",654,123,395,1000,"Brad Pitt",17000,202351611,"Action","Peter Capaldi","World War Z",465019,32392,"Mireille Enos",0,995,"English","USA","PG-13",1.9e+08,2013,11000,7,2.35,129000
"48","Color","Bryan Singer",539,149,0,20000,"Peter Dinklage",34000,233914986,"Action","Jennifer Lawrence","X-Men: Days of Future Past",514125,91434,"Hugh Jackman",7,752,"English","USA","PG-13",2e+08,2014,22000,8,2.35,82000
"49","Color","J.J. Abrams",590,132,14000,928,"Bruce Greenwood",19000,228756232,"Action","Benedict Cumberbatch","Star Trek Into Darkness",395573,21411,"Noel Clarke",0,1171,"English","USA","PG-13",1.9e+08,2013,981,7.8,2.35,92000
"50","Color","Bryan Singer",338,114,0,140,"Ewen Bremner",979,65171860,"Adventure","Eddie Marsan","Jack the Giant Slayer",106416,1766,"Ralph Brown",1,205,"English","USA","PG-13",1.95e+08,2013,557,6.3,2.35,22000
"51","Color","Baz Luhrmann",490,143,1000,77,"Elizabeth Debicki",29000,144812796,"Drama","Leonardo DiCaprio","The Great Gatsby",362912,29770,"Steve Bisley",4,753,"English","Australia","PG-13",1.05e+08,2013,509,7.3,2.35,115000
"52","Color","Mike Newell",306,116,179,236,"Richard Coyle",15000,90755643,"Action","Jake Gyllenhaal","Prince of Persia: The Sands of Time",222403,16149,"Reece Ritchie",2,453,"English","USA","PG-13",2e+08,2010,567,6.6,2.35,23000
"53","Color","Guillermo del Toro",575,131,0,919,"Clifton Collins Jr.",16000,101785482,"Action","Charlie Hunnam","Pacific Rim",381148,19166,"Larry Joe Campbell",0,1106,"English","USA","PG-13",1.9e+08,2013,968,7,1.85,83000
"54","Color","Michael Bay",428,154,0,581,"Lester Speight",894,352358779,"Action","Glenn Morshower","Transformers: Dark of the Moon",326180,2593,"Kevin Dunn",2,899,"English","USA","PG-13",1.95e+08,2011,829,6.3,2.35,46000
"55","Color","Steven Spielberg",470,122,14000,1000,"Ray Winstone",11000,317011114,"Action","Harrison Ford","Indiana Jones and the Kingdom of the Crystal Skull",333847,14959,"Jim Broadbent",2,2054,"English","USA","PG-13",1.85e+08,2008,1000,6.2,2.35,5000
"57","Color","Mark Andrews",488,93,56,838,"John Ratzenberger",2000,237282182,"Adventure","Kelly Macdonald","Brave",273556,5005,"Julie Walters",0,428,"English","USA","PG",1.85e+08,2012,1000,7.2,2.35,39000
"58","Color","Justin Lin",322,122,681,105,"Melissa Roxburgh",998,130468626,"Action","Sofia Boutella","Star Trek Beyond",53607,1327,"Lydia Wilson",4,432,"English","USA","PG-13",1.85e+08,2016,119,7.5,2.35,30000
"59","Color","Andrew Stanton",421,98,475,522,"Fred Willard",1000,223806889,"Adventure","John Ratzenberger","WALL",718837,2975,"Jeff Garlin",0,1043,"English","USA","G",1.8e+08,2008,729,8.4,2.35,16000
"60","Color","Brett Ratner",162,91,420,173,"Dana Ivey",268,140080850,"Action","Tzi Ma","Rush Hour 3",121084,1125,"Noémie Lenoir",2,221,"English","USA","PG-13",1.4e+08,2007,268,6.2,2.35,0
"61","Color","Roland Emmerich",367,158,776,310,"Liam James",1000,166112167,"Action","Oliver Platt","2012",283418,2144,"Tom McCarthy",0,1055,"English","USA","PG-13",2e+08,2009,468,5.8,2.35,13000
"62","Color","Robert Zemeckis",240,96,0,10000,"Colin Firth",18000,137850096,"Animation","Robin Wright","A Christmas Carol",72809,48878,"Gary Oldman",0,249,"English","USA","PG",2e+08,2009,14000,6.8,2.35,0
"63","Color","Lana Wachowski",384,127,0,13000,"Mila Kunis",17000,47375327,"Action","Channing Tatum","Jupiter Ascending",139593,47334,"Eddie Redmayne",1,720,"English","USA","PG-13",1.76e+08,2015,15000,5.4,2.35,44000
"64","Color","David Yates",248,110,282,103,"Alexander Skarsgård",11000,124051759,"Action","Christoph Waltz","The Legend of Tarzan",42372,21175,"Casper Crump",2,239,"English","USA","PG-13",1.8e+08,2016,10000,6.6,2.35,29000
"65","Color","Andrew Adamson",284,150,80,82,"Kiran Shah",1000,291709845,"Adventure","Jim Broadbent","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",286506,1317,"Shane Rangi",5,1463,"English","USA","PG",1.8e+08,2005,190,6.9,2.35,0
"66","Color","Bryan Singer",396,144,0,1000,"Michael Fassbender",34000,154985087,"Action","Jennifer Lawrence","X-Men: Apocalypse",148379,49684,"Tye Sheridan",6,622,"English","USA","PG-13",1.78e+08,2016,13000,7.3,2.35,54000
"67","Color","Christopher Nolan",645,152,22000,11000,"Heath Ledger",23000,533316061,"Action","Christian Bale","The Dark Knight",1676169,57802,"Morgan Freeman",0,4667,"English","USA","PG-13",1.85e+08,2008,13000,9,2.35,37000
"68","Color","Pete Docter",408,96,0,262,"Delroy Lindo",1000,292979556,"Adventure","John Ratzenberger","Up",665575,2635,"Jess Harnell",1,704,"English","USA","PG",1.75e+08,2009,848,8.3,1.85,27000
"69","Color","Rob Letterman",219,94,11,459,"Rainn Wilson",1000,198332128,"Action","Amy Poehler","Monsters vs. Aliens",114553,2579,"Stephen Colbert",2,187,"English","USA","PG",1.75e+08,2009,973,6.5,2.35,0
"70","Color","Jon Favreau",486,126,4000,4000,"Jeff Bridges",21000,318298180,"Action","Robert Downey Jr.","Iron Man",696338,39252,"Jon Favreau",3,1055,"English","USA","PG-13",1.4e+08,2008,12000,7.9,2.35,10000
"71","Color","Martin Scorsese",682,126,17000,1000,"Christopher Lee",17000,73820094,"Adventure","Chloë Grace Moretz","Hugo",245333,36017,"Ray Winstone",0,678,"English","USA","PG",1.7e+08,2011,16000,7.5,1.85,42000
"72","Color","Barry Sonnenfeld",85,106,188,582,"Salma Hayek",10000,113745408,"Action","Will Smith","Wild Wild West",129601,15870,"Bai Ling",2,648,"English","USA","PG-13",1.7e+08,1999,4000,4.8,1.85,0
"73","Color","Rob Cohen",264,112,357,595,"Brendan Fraser",5000,102176165,"Action","Jet Li","The Mummy: Tomb of the Dragon Emperor",117927,9131,"Russell Wong",2,501,"English","USA","PG-13",1.45e+08,2008,3000,5.2,2.35,0
"74","Color","David Ayer",418,123,452,329,"Robin Atkin Downes",10000,161087183,"Action","Will Smith","Suicide Squad",118992,11287,"Ike Barinholtz",8,971,"English","USA","PG-13",1.75e+08,2016,336,6.9,2.35,80000
"75","Color","Tom Shadyac",186,96,293,7000,"Morgan Freeman",87000,100289690,"Comedy","Jimmy Bennett","Evan Almighty",115099,108016,"Steve Carell",0,257,"English","USA","PG",1.75e+08,2007,11000,5.4,2.35,2000
"76","Color","Doug Liman",585,113,218,509,"Lara Pulver",10000,100189501,"Action","Tom Cruise","Edge of Tomorrow",431620,12652,"Noah Taylor",1,741,"English","USA","PG-13",1.78e+08,2014,854,7.9,2.35,77000
"77","Color","Kevin Reynolds",91,176,58,60,"Rick Aviles",711,88246220,"Action","Jeanne Tripplehorn","Waterworld",144337,1004,"Zakes Mokae",0,309,"English","USA","PG-13",1.75e+08,1995,60,6.1,1.85,0
"78","Color","Stephen Sommers",250,118,208,570,"Dennis Quaid",23000,150167630,"Action","Joseph Gordon-Levitt","G.I. Joe: The Rise of Cobra",174578,26683,"Leo Howard",4,534,"English","USA","PG-13",1.75e+08,2009,2000,5.8,2.35,0
"79","Color","Pete Docter",536,95,0,384,"Mindy Kaling",1000,356454367,"Adventure","Amy Poehler","Inside Out",345198,2944,"Phyllis Smith",1,773,"English","USA","PG",1.75e+08,2015,767,8.3,1.85,118000
"80","Color","Jon Favreau",370,106,4000,591,"Bill Murray",19000,362645141,"Adventure","Scarlett Johansson","The Jungle Book",106072,32921,"Garry Shandling",0,398,"English","UK","PG",1.75e+08,2016,13000,7.8,1.85,65000
"81","Color","Jon Favreau",453,124,4000,4000,"Scarlett Johansson",21000,312057433,"Action","Robert Downey Jr.","Iron Man 2",522371,48638,"Jon Favreau",4,723,"English","USA","PG-13",2e+08,2010,19000,7,2.35,18000
"82","Color","Rupert Sanders",416,132,274,11000,"Kristen Stewart",26000,155111815,"Action","Chris Hemsworth","Snow White and the Huntsman",228554,72881,"Sam Claflin",0,710,"English","USA","PG-13",1.7e+08,2012,17000,6.1,2.35,53000
"83","Color","Robert Stromberg",401,97,171,846,"Sharlto Copley",11000,241407328,"Action","Angelina Jolie Pitt","Maleficent",252257,15516,"Sam Riley",2,634,"English","USA","PG",1.8e+08,2014,2000,7,2.35,89000
"84","Color","Matt Reeves",521,130,198,884,"Judy Greer",10000,208543795,"Action","Gary Oldman","Dawn of the Planet of the Apes",317542,14363,"Kodi Smit-McPhee",0,620,"English","USA","PG-13",1.7e+08,2014,2000,7.6,1.85,45000
"86","Color","Carl Rinsch",218,128,47,982,"Cary-Hiroyuki Tagawa",18000,38297305,"Action","Keanu Reeves","47 Ronin",116994,20965,"Jin Akanishi",2,324,"English","USA","PG-13",1.75e+08,2013,1000,6.3,2.35,35000
"87","Color","Anthony Russo",576,136,94,2000,"Chris Evans",19000,259746958,"Action","Scarlett Johansson","Captain America: The Winter Soldier",496749,36188,"Hayley Atwell",1,742,"English","USA","PG-13",1.7e+08,2014,11000,7.8,2.35,55000
"88","Color","Mike Mitchell",226,93,31,213,"Kathy Griffin",4000,238371987,"Adventure","Jon Hamm","Shrek Forever After",138661,4628,"Mary Kay Place",2,173,"English","USA","PG",1.65e+08,2010,225,6.4,2.35,0
"89","Color","Brad Bird",443,130,663,604,"Chris Bauer",2000,93417865,"Action","Judy Greer","Tomorrowland",128306,5046,"Thomas Robinson",2,497,"English","USA","PG",1.9e+08,2015,638,6.5,2.2,37000
"90","Color","Don Hall",384,102,38,562,"Daniel Henney",756,222487711,"Action","Damon Wayans Jr.","Big Hero 6",279093,2963,"Abraham Benrubi",0,433,"English","USA","PG",1.65e+08,2014,719,7.9,2.39,41000
"91","Color","Rich Moore",377,101,66,833,"Sarah Silverman",975,189412677,"Adventure","Jack McBrayer","Wreck-It Ralph",272534,4451,"Joe Lo Truglio",1,345,"English","USA","PG",1.65e+08,2012,931,7.8,2.35,40000
"92","Color","Robert Zemeckis",188,100,0,267,"Eddie Deezen",15000,665426,"Adventure","Tom Hanks","The Polar Express",120798,16264,"Peter Scolari",0,444,"English","USA","G",1.65e+08,2004,726,6.6,2.35,10000
"93","Color","Roland Emmerich",286,120,776,535,"Sela Ward",890,102315545,"Action","Vivica A. Fox","Independence Day: Resurgence",58137,3233,"Judd Hirsch",0,520,"English","USA","PG-13",1.65e+08,2016,812,5.5,2.35,67000
"94","Color","Dean DeBlois",288,98,255,759,"America Ferrera",18000,217387997,"Adventure","Gerard Butler","How to Train Your Dragon",485430,20453,"Craig Ferguson",0,492,"English","USA","PG",1.65e+08,2010,953,8.2,2.35,33000
"95","Color","Jonathan Mostow",280,109,84,191,"M.C. Gainey",648,150350192,"Action","Nick Stahl","Terminator 3: Rise of the Machines",305340,1769,"Carolyn Hennesy",0,1676,"English","USA","R",2e+08,2003,284,6.4,2.35,0
"96","Color","James Gunn",653,121,571,3000,"Vin Diesel",14000,333130696,"Action","Bradley Cooper","Guardians of the Galaxy",682155,32438,"Djimon Hounsou",3,1097,"English","USA","PG-13",1.7e+08,2014,14000,8.1,2.35,96000
"97","Color","Christopher Nolan",712,169,22000,6000,"Anne Hathaway",11000,187991439,"Adventure","Matthew McConaughey","Interstellar",928227,31488,"Mackenzie Foy",1,2725,"English","USA","PG-13",1.65e+08,2014,11000,8.6,2.35,349000
"98","Color","Christopher Nolan",642,148,22000,23000,"Tom Hardy",29000,292568851,"Action","Leonardo DiCaprio","Inception",1468200,81115,"Joseph Gordon-Levitt",0,2803,"English","USA","PG-13",1.6e+08,2010,27000,8.8,2.35,175000
"101","Color","Rob Cohen",187,106,357,4000,"Vin Diesel",23000,144512310,"Action","Paul Walker","The Fast and the Furious",272223,45327,"Jordana Brewster",2,988,"English","USA","PG-13",3.8e+07,2001,14000,6.7,2.35,14000
"102","Color","David Fincher",362,166,21000,919,"Jason Flemyng",11000,127490802,"Drama","Brad Pitt","The Curious Case of Benjamin Button",459346,13333,"Julia Ormond",2,822,"English","USA","PG-13",1.5e+08,2008,1000,7.8,2.35,23000
"103","Color","Matthew Vaughn",500,132,905,1000,"Michael Fassbender",34000,146405371,"Action","Jennifer Lawrence","X-Men: First Class",518537,50983,"Oliver Platt",3,698,"English","USA","PG-13",1.6e+08,2011,13000,7.8,2.35,54000
"104","Color","Francis Lawrence",389,137,508,14000,"Philip Seymour Hoffman",34000,281666058,"Adventure","Jennifer Lawrence","The Hunger Games: Mockingjay - Part 2",166137,81385,"Josh Hutcherson",1,383,"English","USA","PG-13",1.6e+08,2015,22000,6.6,2.35,38000
"105","Color","Jon Turteltaub",235,109,226,370,"Omar Benson Miller",12000,63143812,"Action","Nicolas Cage","The Sorcerer's Apprentice",124185,13388,"Robert Capron",0,238,"English","USA","PG",1.5e+08,2010,418,6.1,2.35,11000
"106","Color","Wolfgang Petersen",231,98,249,702,"Mike Vogel",87000,60655503,"Action","Jimmy Bennett","Poseidon",82380,92456,"Andre Braugher",0,629,"English","USA","PG-13",1.6e+08,2006,2000,5.6,2.35,0
"107","Color","James Bobin",218,113,33,11000,"Alan Rickman",40000,76846624,"Adventure","Johnny Depp","Alice Through the Looking Glass",21352,80806,"Anne Hathaway",1,131,"English","USA","PG",1.7e+08,2016,25000,6.4,1.85,30000
"108","Color","Chris Miller",227,93,50,692,"Eric Idle",3000,320706665,"Adventure","Justin Timberlake","Shrek the Third",211971,4705,"Rupert Everett",2,326,"English","USA","PG",1.6e+08,2007,795,6.1,1.85,0
"109","Color","Duncan Jones",275,123,0,648,"Callum Rennie",3000,46978995,"Action","Dominic Cooper","Warcraft",111609,5505,"Ruth Negga",0,781,"English","USA","PG-13",1.6e+08,2016,716,7.3,2.35,89000
"110","Color","Alan Taylor",474,126,230,2000,"Emilia Clarke",24000,89732035,"Action","J.K. Simmons","Terminator Genisys",188457,38873,"Matt Smith",2,867,"English","USA","PG-13",1.55e+08,2015,10000,6.6,2.35,82000
"111","Color","Michael Apted",228,113,150,59,"Shane Rangi",531,104383624,"Adventure","Bruce Spence","The Chronicles of Narnia: The Voyage of the Dawn Treader",106446,764,"Laura Brent",4,227,"English","USA","PG",1.55e+08,2010,82,6.3,1.78,11000
"112","Black and White","Michael Bay",191,184,0,691,"Jaime King",3000,198539855,"Action","Jennifer Garner","Pearl Harbor",254111,5401,"Mako",0,1999,"English","USA","PG-13",1.4e+08,2001,961,6.1,2.35,0
"113","Color","Michael Bay",396,144,0,581,"Michael O'Neill",662,318759914,"Action","Zack Ward","Transformers",513158,2333,"Kevin Dunn",0,1782,"English","USA","PG-13",1.5e+08,2007,599,7.1,2.35,8000
"114","Color","Oliver Stone",248,206,0,591,"Angelina Jolie Pitt",12000,34293771,"Action","Anthony Hopkins","Alexander",138863,24598,"Brian Blessed",3,1390,"English","Germany","R",1.55e+08,2004,11000,5.5,2.35,0
"115","Color","David Yates",329,138,282,687,"Daniel Radcliffe",21000,292000866,"Adventure","Robert Pattinson","Harry Potter and the Order of the Phoenix",355137,33433,"Fiona Shaw",3,1108,"English","UK","PG-13",1.5e+08,2007,11000,7.5,2.35,0
"116","Color","Mike Newell",295,157,179,10000,"Daniel Radcliffe",21000,289994397,"Adventure","Robert Pattinson","Harry Potter and the Goblet of Fire",385670,53413,"Rupert Grint",1,1896,"English","UK","PG-13",1.5e+08,2005,11000,7.6,2.35,0
"117","Color","Peter Berg",318,102,532,979,"Charlize Theron",10000,227946274,"Action","Will Smith","Hancock",343648,21584,"Eddie Marsan",0,590,"English","USA","PG-13",1.5e+08,2008,9000,6.4,2.35,0
"118","Color","Francis Lawrence",323,104,508,558,"Alice Braga",10000,256386216,"Drama","Will Smith","I Am Legend",530870,13076,"Willow Smith",0,1413,"English","USA","PG-13",1.5e+08,2007,1000,7.2,2.35,11000
"119","Color","Tim Burton",276,115,13000,588,"Christopher Lee",40000,206456431,"Adventure","Johnny Depp","Charlie and the Chocolate Factory",320284,57844,"David Kelly",3,1361,"English","USA","PG",1.5e+08,2005,16000,6.7,1.85,0
"120","Color","Brad Bird",318,111,663,954,"John Ratzenberger",1000,206435493,"Animation","Janeane Garofalo","Ratatouille",473887,4764,"Brian Dennehy",0,626,"English","USA","G",1.5e+08,2007,1000,8,2.35,10000
"121","Color","Christopher Nolan",478,128,22000,11000,"Liam Neeson",23000,205343774,"Action","Christian Bale","Batman Begins",980946,59558,"Morgan Freeman",0,2685,"English","USA","PG-13",1.5e+08,2005,14000,8.3,2.35,15000
"122","Color","Eric Darnell",167,89,35,436,"Jada Pinkett Smith",1000,179982968,"Action","Bernie Mac","Madagascar: Escape 2 Africa",146019,3285,"Cedric the Entertainer",0,119,"English","USA","PG",1.5e+08,2008,851,6.7,1.85,0
